0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,100,3,2,2,145,20,13,0,21,76,15,22,6,0,0,8,6,2,17,4,0,0,6,7,0,112,38,0,0,60,14,0,44,14,0,0,23,5,2,17,5,0,0,7,4,1,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,Bizerte,16,0,0,0,24,6,0,1,5,9,3,2,0,0,1,0,0,1,2,0,0,1,0,0,1,21,12,0,3,4,1,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,BullaRegia,13,1,0,0,10,0,0,0,4,1,5,4,0,0,0,3,0,1,4,0,0,0,3,0,1,9,0,0,0,9,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,Carthage,67,3,1,1,55,1,0,0,12,20,22,14,1,0,0,4,1,8,8,0,0,0,2,1,5,26,5,0,0,16,5,0,10,1,0,0,5,1,3,5,0,0,0,3,1,1,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,HADRUMET,52,0,1,6,139,21,2,15,16,61,24,26,4,0,2,8,4,8,23,3,0,2,9,4,5,86,28,2,3,42,6,5,30,7,0,0,12,5,6,8,1,0,0,4,2,1,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,Virtual Expansion (MC Tunisia),29,1,0,2,29,0,0,0,8,10,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,2,0,2,1,0,0,0,0,0,1,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,MEDINA,65,20,4,1,64,27,9,0,5,10,13,18,14,1,0,0,1,2,10,7,0,0,0,1,2,49,33,1,2,11,2,0,24,21,0,0,2,0,1,5,3,0,0,2,0,0,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,NABEL,22,4,1,1,15,1,0,0,4,5,5,2,0,0,0,2,0,0,2,0,0,0,2,0,0,26,1,3,0,21,0,1,8,1,0,0,6,0,1,0,0,0,0,0,0,0,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,RUSPINA,34,0,1,0,30,0,0,0,3,15,12,2,0,0,0,1,0,1,2,0,0,0,1,0,1,7,0,0,0,5,0,2,3,0,0,0,1,1,1,1,0,0,0,0,1,0,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,SFAX,173,155,2,2,78,31,18,12,4,8,5,14,12,1,1,0,0,0,9,6,1,1,1,0,0,55,23,1,12,16,1,2,22,12,0,0,7,0,3,8,4,0,0,3,0,1,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,TACAPES,24,0,0,0,33,14,0,5,3,6,5,7,3,0,0,0,3,1,5,1,0,0,0,3,1,21,2,0,5,12,1,1,3,0,0,0,2,0,1,2,0,0,0,1,0,1,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,THYNA,23,2,0,1,64,41,0,4,6,10,3,23,19,0,0,1,2,1,19,16,0,0,1,1,1,60,37,1,2,19,0,1,12,6,0,0,5,1,0,5,3,0,0,2,0,0,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
,UNIVERSITY,40,1,1,1,136,24,16,34,28,25,9,37,14,0,1,19,1,2,27,11,0,1,13,0,2,86,8,0,5,72,0,1,20,2,0,0,16,2,0,7,1,0,0,5,1,0,backfill_2026_07_20260812201021,2026-08-12 20:10:21.682278,07/01/2026,07/31/2026
