0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at,period_start,period_end
,BARDO,119,37,45,0,170,8,9,15,48,74,16,50,4,1,1,36,5,3,33,3,0,0,21,7,2,8,0,1,0,1,5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,Bizerte,17,10,5,0,20,3,0,9,5,3,0,4,1,0,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,Carthage,65,34,12,10,39,1,0,5,6,20,7,10,1,0,0,5,1,3,7,0,0,0,3,2,2,4,0,0,0,1,1,2,4,1,1,0,2,0,0,2,1,0,0,1,0,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,HADRUMET,100,6,87,4,102,14,25,0,12,40,11,21,5,0,0,9,5,2,14,4,0,0,5,3,2,7,0,0,0,2,3,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,Virtual Expansion (MC Tunisia),16,2,1,0,11,0,0,0,3,7,1,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,Virtual MC Tunisia,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,MEDINA,28,14,3,3,21,3,1,1,7,5,4,10,1,0,0,5,1,3,8,1,0,0,4,0,3,2,0,0,0,0,1,1,4,0,0,0,3,1,0,4,0,0,0,3,1,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,NABEL,44,33,10,0,49,13,22,0,4,7,3,8,2,1,0,4,1,0,4,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,RUSPINA,101,44,55,2,44,1,15,5,8,10,5,10,0,2,0,6,0,2,6,1,2,0,1,0,2,3,2,0,0,0,0,1,4,1,2,0,0,1,0,4,1,2,0,0,1,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,SFAX,71,33,35,3,22,12,0,0,2,6,2,2,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,TACAPES,11,9,2,1,13,0,1,2,2,6,2,2,0,0,1,0,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,THYNA,19,3,5,2,19,5,0,0,4,8,2,4,1,0,0,2,0,1,1,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
,UNIVERSITY,119,80,15,25,138,11,41,29,14,26,17,21,4,3,1,8,0,5,16,5,3,1,3,0,4,6,0,2,2,1,1,0,5,0,0,0,2,2,1,2,0,0,0,2,0,0,historical_2024_02_20260718185155,2026-07-18 18:51:55.080605,02/01/2024,02/29/2024
