0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,scrape_id,scraped_at
,BARDO,77,4,32,2,124,0,0,0,9,97,18,13,0,0,0,2,9,2,2,0,0,0,0,2,0,9,0,0,0,1,7,1,8,1,0,0,0,6,1,2,1,0,0,0,1,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,Bizerte,11,1,0,1,34,21,0,0,3,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,BullaRegia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,Carthage,42,2,2,0,29,0,0,0,4,20,5,4,0,0,0,1,2,1,2,0,0,0,1,1,0,3,0,0,0,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,HADRUMET,40,21,16,3,32,0,0,0,2,27,3,5,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0,1,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,Virtual Expansion (MC Tunisia),20,1,0,0,13,0,0,0,4,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,Virtual MC Tunisia,0,0,0,0,4,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,MEDINA,22,0,4,2,34,0,0,0,6,22,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,manual_run_20260712153823,2026-07-12 15:38:23.740203
,NABEL,22,1,4,0,15,0,0,0,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,RUSPINA,16,4,8,1,15,0,0,0,0,15,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,SFAX,12,0,1,0,16,0,0,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,TACAPES,10,4,2,2,16,1,0,0,5,7,3,2,1,0,0,1,0,0,2,1,0,0,1,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,THYNA,8,1,0,1,8,0,0,0,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
,UNIVERSITY,45,4,3,1,59,0,0,0,12,40,7,5,0,0,0,2,2,1,1,0,0,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,manual_run_20260712153823,2026-07-12 15:38:23.740203
